entidad,tipo_entidad
Jorge Daniel Hernández,ser humano
Imanol Landeta,ser humano
Abraham Zabludovsky,ser humano
Ricardo Castro Herrera,ser humano
Abraham Ángel,ser humano
José Clemente Orozco,ser humano
Felipe Villanueva Gutiérrez,ser humano
Lorenzo Zambrano,ser humano
Silvestre Revueltas,ser humano
Miguel Mancera Aguayo,ser humano
Arturo Yamasaki,ser humano
Israel Castro,ser humano
Emmanuel,ser humano
Adeodato López,ser humano
Emoé de la Parra,ser humano
Abelardo Alvarado Alcántara,ser humano
José Natividad González Parás,ser humano
Abraham Antonio Polo Uscanga,ser humano
Carlos Jiménez Mabarak,ser humano
Carlos Slim,ser humano
Diego Rivera,ser humano
Pedro Ramírez Vázquez,ser humano
Gilberto Bosques Saldívar,ser humano
Raúl Anguiano,ser humano
Adolfo Ruiz Cortines,ser humano
Luis Carlos Ugalde,ser humano
Manuel Álvarez Zamora,ser humano
Nery Castillo,ser humano
Mariano Azuela,ser humano
Antonio Castro Leal,ser humano
Luis Calderón Vega,ser humano
Luis Nishizawa Flores,ser humano
Francisco Zúñiga,ser humano
Francisco Eduardo Tresguerras,ser humano
Gunther Gerzso,ser humano
Adela Sequeyro,ser humano
Arturo Chaires,ser humano
Guillermo Sepúlveda,ser humano
Arnoldo Martínez Verdugo,ser humano
Oswaldo Sánchez,ser humano
Anastasio Bustamante,ser humano
Ciudad de Panamá,ciudad
periodista de opinión,periodista
Universidad Nacional Autónoma de México,universidad
Universidad Harvard,universidad
Tlacotalpan,localidad de México
Universidad Veracruzana,universidad
Saltillo,ciudad
diputado de México,cargo
Instituto de Ciencias y Artes de Oaxaca,institución educativa
ministro,cargo
Durango,estado
Pontificia Universidad Gregoriana,universidad
cardenal presbítero,cargo
modelo,propiedad
San Fernando,ciudad
Argentina,país
Ciudad de Guatemala,ciudad
Universidad de San Carlos de Guatemala,universidad
Conservatorio Nacional de Música de México,conservatorio de música
Lagos de Moreno,localidad de México
ciclista,deportista
Estado de Veracruz,estado
Academia Mexicana de la Lengua,institución académica
Monclova,localidad de México
maratonista,profesión
España,página de desambiguación de Wikimedia
Oporto,estación de metro
grabador,profesión
Escuela al Aire Libre,edificio escolar
Universidad del Sur de California,universidad
Ciudad Serdán,localidad de México
Benemérita Universidad Autónoma de Puebla,universidad
Paysandú,ciudad
Uruguay,país
Concordia,ciudad
Antiguo Colegio de San Ildefonso,edificio
presidente de México,cargo público
músico,profesión
Berklee College of Music,universidad
Premio Grammy Latino del Consejo Directivo,categoría de premio de música
Tlapa de Comonfort,asentamiento
Amnesty International Menschenrechtspreis,distinción
Bajina Bašta,asentamiento
Tepetitán,localidad de México
Estados Unidos,asentamiento
adiestrador canino,profesión
médico,profesión
economista,profesión
Toluca de Lerdo,ciudad
cardenal,clérigo católico
Universidad del Valle de Atemajac,universidad
San Luis Potosí,estado
Matamoros,página de desambiguación de Wikimedia
RBD,grupo musical
obispo diocesano,cargo eclesiástico
Presidente Municipal de Monterrey,cargo público
Chicontepec,página de desambiguación de Wikimedia
IX Distrito de París,distrito
poeta,escritor
Francia,país
Beca Guggenheim,premio
Instituto Nacional de Bellas Artes y Literatura,institución educativa
Escuela Preparatoria Belmont,página de desambiguación de Wikimedia
Caballero de la Orden del Santo Sepulcro de Jerusalén,grado de una orden
Italia,página de desambiguación de Wikimedia
Ciudad López Mateos,localidad de México
Universidad Autónoma del Estado de México,universidad
Cholula,ciudad
Popotla,estación
director de orquesta,profesión
Escuela de Economía y Ciencia Política de Londres,universidad
Huajuapan de León,localidad de México
Białystok,ciudad
Polonia,país
Premio Nacional de Ciencias y Artes,premio
Ciudad Guzmán,ciudad
Academia de San Carlos,universidad
El demagogo,pintura
Cemex,empresa
Sensemayá,obra de composición musical
Universidad Yale,universidad
Gobernador del Banco de México,cargo público
Lima,ciudad
árbitro de fútbol,profesión
Premio Grammy Latino a la Excelencia Musical,premio
obispo auxiliar,cargo eclesiástico
Universidad Autónoma de Nuevo León,universidad
Gobernantes de Nuevo León,cargo público
Tacuba,ciudad
director de cine,profesión
América Móvil,empresa
Los Ángeles,asentamiento
Murales de la Industria de Detroit,fresco
diseñador,propiedad de Wikidata para elementos sobre obras
Municipio de Chiautla,municipio
Orden de la Estrella Polar,orden
Liga de estudiantes de arte de Nueva York,institución académica
Universidad de Columbia,universidad
Villa de Álvarez,ciudad
Gobernador de Colima,cargo público
Los de abajo,película
El Colegio Nacional,institución académica
Organización de las Naciones Unidas,organización
San José,ciudad
Miguel de la Madrid,ser humano
Rosario Castellanos,ser humano
Cecilia Gabriela,ser humano
Elena Poniatowska,ser humano
Dominika Paleta,ser humano
Rafael Romo Muñoz,ser humano
Katy Jurado,ser humano
Kate del Castillo,ser humano
Antonio Jasso,ser humano
Ernesto Zedillo,ser humano
Juan Pérez 'Kichi',ser humano
Aarón Padilla Gutiérrez,ser humano
Emilio Carlos Berlie Belaunzarán,ser humano
Alan Stone,ser humano
Gabriel Soto,ser humano
Salvador Zubirán,ser humano
José Luis Trejo,ser humano
Luis Donaldo Colosio,ser humano
Lupe Pintor,ser humano
Enrique Carral Icaza,ser humano
Juan Pablo Rodríguez,ser humano
Leonardo Márquez,ser humano
Alexander Salkind,ser humano
Miguel Ángel Biaggio,ser humano
Andrés Carevic,ser humano
Guadalupe Marín,ser humano
Victoriano Huerta,ser humano
Vikki Carr,ser humano
Zuria Vega,ser humano
Ana de la Reguera,ser humano
