entidad	instancia_de	subclase_de
cantante de ópera	ocupación, profesión musical	cantante, cantante de música clásica, classical musician
voleibolista	profesión	deportista, jugador competitivo
jugador de voleibol de playa	profesión, ocupación	voleibolista
Nueva York	página de desambiguación de Wikimedia	
premio Grammy a la mejor grabación latina	categoría de un premio	
Maritza Arribas Robaina	ser humano	
Román Hernández Onna	ser humano	
Fidel Corrales Jiménez	ser humano	
Yuri González Vidal	ser humano	
Zirka Frómeta Castillo	ser humano	
Joseph Vandor	ser humano	
Yan Bartelemí	ser humano	
Félix Ismael Rodríguez	ser humano	
Danell Leyva	ser humano	
Al Cueto	ser humano	
Holden Hernández Carmenates	ser humano	
Renier González	ser humano	
Yudith Águila	ser humano	
Odlanier Solís	ser humano	
Carlos Prío Socarrás	ser humano	
Cristina Saralegui	ser humano	
Amador Rodríguez Céspedes	ser humano	
Moisés Simons	ser humano	
Emilio Correa	ser humano	
Armando Hart Dávalos	ser humano	
Marianao	municipio de Cuba	
Dorog	ciudad en Hungría	
sacerdote católico	vocación católica	presbítero, clérigo católico
Hungría	álbum	
Arroyo Naranjo	municipio de Cuba	
espía	profesión	agente de inteligencia
Estrella de Plata	distinción a la valentía, star	
Cárdenas	página de desambiguación de Wikimedia	
gimnasta artístico	profesión, ocupación	gimnasta
Universidad de Tulsa	universidad, institución educativa privada sin fines de lucro, editorial académica	
provincia de Matanzas	provincia de Cuba	
Bahía Honda	página de desambiguación de Wikimedia	
Universidad de Miami	universidad, institución educativa privada sin fines de lucro	
San Germán (Holguín)	asentamiento	
El manisero	obra de composición musical	
ministro de Cultura	cargo	ministro
Orden Nacional José Martí	orden	
Agustín Pavó	ser humano	
Agustin Roman	ser humano	
Joel Isasi	ser humano	
José Coppinger	ser humano	
Jaime Ortega Alamino	ser humano	
Libania Grenot	ser humano	
Yunaika Crawford	ser humano	
Déborah Andollo	ser humano	
Tomás Milian	ser humano	
Pablo Lara	ser humano	
Julieta Campos	ser humano	
Niurka Montalvo	ser humano	
Mayra Verónica	ser humano	
Mel Martínez	ser humano	
Yarianna Martínez	ser humano	
Yanet Cruz	ser humano	
Beatriz Valdés	ser humano	
Antonio Sánchez de Bustamante y Sirvén	ser humano	
Carmen Valdés	ser humano	
Rudy Sarzo	ser humano	
San Antonio de los Baños	ciudad, municipio de Cuba	
Barry University	universidad, institución educativa privada sin fines de lucro	
obispo auxiliar	función episcopal, vocación católica	obispo, obispo católico, obispo titular, vicario general, ayudante
gobernador real de La Florida	cargo	gobernador
Real y Militar Orden de San Fernando	orden, orden de mérito	
Jagüey Grande	ciudad, municipio de Cuba	
