entidad	instancia_de	subclase_de
Presidente de Panamá	cargo elegido	presidente, jefe del Gobierno
guionista	propiedad de Wikidata para elementos sobre películas, Wikidata property to identify contributors to audiovisual works	
fotógrafo	ocupación, agente	artista visual
Provincia de Herrera	provincia de Panamá	
Escuela de Derecho Harvard	facultad de derecho, editorial, escuela de postgrado	
Academia Estadounidense de las Artes y las Ciencias	organización sin fines de lucro, sociedad erudita, editorial académica	
Winfield	ciudad de Estados Unidos	
taekwondista	profesión, ocupación	deportista
Universidad Nacional de Colombia	universidad pública, editor de acceso abierto	
Brooklyn	Distritos de la ciudad de Nueva York	
Universidad Estatal de Carolina del Norte	Universidad de concesión de tierras, institución educativa pública de los Estados Unidos, editor de acceso abierto, universidad pública de investigación	
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
Universidad Pontificia de Salamanca	universidad privada, universidad pontificia, editor de acceso abierto	
obispo auxiliar	función episcopal, vocación católica	obispo, obispo católico, obispo titular, vicario general, ayudante
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
Orden de Vasco Núñez de Balboa	orden	
Turbaco	municipio de Colombia	
Escuela de Medicina Harvard	escuela de medicina	
productor discográfico	profesión musical	músico, productor
compositor de canciones	profesión musical	compositor, autor
Provincia de Los Santos	provincia de Panamá	
Eric Vásquez	ser humano	
Ascanio Arosemena	ser humano	
Ernesto Marcel	ser humano	
Ernesto Sinclair	ser humano	
Manuel Mosquera	ser humano	
Escolastico Calvo	ser humano	
Rubén Arosemena	ser humano	
Fernando Eleta Almarán	ser humano	
Eybir Bonaga	ser humano	
Federico Plummer	ser humano	
Federico Visuetti	ser humano	
Fernando Jara	ser humano	
Fernando Ramsey	ser humano	
Fernando Seguignol	ser humano	
Florencio Flores Aguilar	ser humano	
Adán Ríos	ser humano	
Francisco Checa	ser humano	
Francisco Vicente de la Espriella	ser humano	
Frank Davis	página de desambiguación de nombres humanos	
Freddy Herrera	ser humano	
Gran Cruz de la Orden de Isabel la Católica	grado de una orden	Gran Cruz
Provincia de Chiriquí	provincia de Panamá	
diseñador de moda	profesión, ocupación	diseñador, profesional de la moda
Universidad Estatal de Nuevo México	Universidad de concesión de tierras, universidad pública, institución educativa pública de los Estados Unidos, editor de acceso abierto	
Provincia de Bocas del Toro	provincia de Panamá	
oncólogo	profesión	médico especialista
Centro Oncológico MD Anderson de la Universidad de Texas	universidad, hospital, institución educativa pública de los Estados Unidos	
Nueva York	página de desambiguación de Wikimedia	
jugador de fútbol americano	profesión	jugador de fútbol gridiron
Universidad del Sur de Florida	universidad pública, institución educativa pública de los Estados Unidos, editor de acceso abierto	
Manuel Amador Terreros	ser humano	
Manuel José Pérez	ser humano	
Julio Zuleta	ser humano	
