entidad	instancia_de	subclase_de
Arcabuco	municipio de Colombia	
Machala	ciudad	
Pamplona	municipio de España	
piloto de aviación	profesión	miembro de tripulación, operador de vehículo
realizador	profesión	artista, gerente, creador
Oswaldo Guayasamín	ser humano	
Enrique Grau	ser humano	
Mariano Ospina Pérez	ser humano	
Mesías Maiguashca	ser humano	
Zacarías Reyán	ser humano	
Juan Urango	ser humano	
Bernardo Redín	ser humano	
Edgar Negret	ser humano	
Hernán Alvarado Solano	ser humano	
Duván Zapatillas	ser humano	
Ximena Duque	ser humano	
Gilberto Aristizábal	ser humano	
Oliverio Rincón	ser humano	
Víctor Marulanda	ser humano	
Natalia Navarro Galvis	ser humano	
Miguel Ángel Rodríguez Forero	ser humano	
Fernando Gaitán Salom	ser humano	
Róbinson Zapata	ser humano	
Valdemar Franklin Quintero	ser humano	
Bernardo Tovar	ser humano	
La huelga	pintura	
Premio Eugenio Espejo	premio de cultura	
Hochschule für Musik und Tanz Köln	conservatorio de música, universidad pública, escuela de música, academia de música	
Chiquinquirá	municipio de Colombia	
poeta	profesión	escritor
Montería	gran ciudad, municipio de Colombia, ciudad de Colombia	
boxeador	profesión	deportista, artista marcial
escultor	profesión artística	artesano, artista visual, artista plástico
Beca Guggenheim	beca, evento anual	premio académico
Duitama	municipio de Colombia	
Universidad Autónoma Latinoamericana	universidad	
participante en concursos de belleza	ocupación	animador, modelo, concursante
jugador de squash	ocupación	deportista, jugador competitivo
Yo soy Betty, la fea	serie de televisión	
Anexo:TVyNovelas (Colombia) al mejor libretista de telenovela o serie	categoría de un premio	
Florida	Estado de los Estados Unidos	
tirador		cinturón
Juventudes Socialistas de España	organización política juvenil	
Balón de Oro	premio deportivo	trofeo, evento recurrente
Miguel Antonio Caro Tobar	ser humano	
Rafael Reyes Prieto	ser humano	
José María Campo Serrano	ser humano	
Frank Osorio	ser humano	
Jorge Enrique Abello	ser humano	
Gildardo Biderman Gómez	ser humano	
Gabriel Ochoa	ser humano	
Alejandra Sandoval	ser humano	
Víctor Salazar	ser humano	
Carlos Betancur	ser humano	
Juan Sebastián Cabal	ser humano	
José Fernando Santa	ser humano	
Francisco Javier Vergara y Velasco	ser humano	
Héctor Quiñones	ser humano	
Vladdo	ser humano	
Edison Toloza	ser humano	
Carlos Maussa	ser humano	
Miguel Varoni	ser humano	
Luis Gabriel Rey	ser humano	
Andrés Felipe Ortiz	ser humano	
Academia Colombiana de la Lengua	organización	
Santa Rosa de Viterbo	página de desambiguación de Wikimedia	
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
Por Colombia, por Ibero-América	obra escrita	
presidente	propiedad de Wikidata para elementos sobre organizaciones	
El Carmen de Viboral	municipio de Colombia	
Segovia	ciudad, municipio de España	
Sopetrán	municipio de Colombia	
modelo artístico	profesión	modelo
Ciudad Bolívar	ciudad	
historiador	profesión	académico de humanidades
dibujante	propiedad de Wikidata relacionada con las historietas, Wikidata property to identify contributors to creative works	
Santa Bárbara	ciudad, comuna de Chile	
realizador de televisión	profesión	realizador
José Castelblanco	ser humano	
Darwin Atapuma	ser humano	
Andrés Orozco	ser humano	
Flavio Caballero	ser humano	
Israel Ochoa	ser humano	
Samuel Cabrera	ser humano	
Winner Anacona	ser humano	
Edwin Valencia	ser humano	
Juan Esteban Arango	ser humano	
Luis Fernando Herrera	ser humano	
Edwin Congo	ser humano	
Fanny Lu	ser humano	
Gabriel Turbay	ser humano	
Hernando Tovar	ser humano	
Francisco Maturana	ser humano	
José Eustasio Rivera	ser humano	
Fonseca	ser humano	
Carlos Valencia	ser humano	
Coraima Torres	ser humano	
Úmbita	municipio de Colombia	
Túquerres	municipio de Colombia	
San Andrés	municipio de Colombia	
Paipa	municipio de Colombia	
Pasuncha	corregimiento de Colombia, centro poblado	
embajador de Colombia en los Estados Unidos	cargo	embajador en Estados Unidos, embajador de Colombia
Girardot	municipio de Colombia	
Rivera	página de desambiguación de Wikimedia	
Ministerio de Relaciones Exteriores de Colombia	ministerio de relaciones exteriores	
Berklee College of Music	universidad privada, academia de música, institución educativa privada sin fines de lucro	
Cerrito	página de desambiguación de Wikimedia	
Valencia	ciudad componente	
Misael Pastrana Borrero	ser humano	
Juan Pablo Forero	ser humano	
Pontus Carlsson	ser humano	
Víctor Manuel Mora	ser humano	
Miguel Ángel Rubiano	ser humano	
Sergio Henao	ser humano	
Miguel Calero Rodríguez	ser humano	
Rodrigo García Barcha	ser humano	
Arturo Salazar Mejía	ser humano	
Arturo de Jesús Correa Toro	ser humano	
Gregorio Ladino	ser humano	
Walter Pedraza	ser humano	
Leonel Álvarez	ser humano	
Alejandro Berrio	ser humano	
Juan Pablo Pino	ser humano	
Dúvier Riascos	ser humano	
Luis Fernando Suárez	ser humano	
Francisco Antonio Zea	ser humano	
Alfonso López Pumarejo	ser humano	
Giovanni Báez	ser humano	
embajador de Colombia	clase de embajadores de un país	embajador de un país
Tabio	municipio de Colombia	
ajedrecista	profesión	deportista, abstract game player, chess person, jugador de juego de tablero
Suecia	país, estado soberano	
Ginebra	página de desambiguación de Wikimedia	
Premios WGA	premio de cultura, grupo de premios	
