entidad	instancia_de	subclase_de
Carlos Javier Acuña	ser humano	
Ricardo Ismael Rojas	ser humano	
Diógenes Domínguez	ser humano	
San José de los Arroyos	municipio de Paraguay	
Avellaneda	página de desambiguación de Wikimedia	
jugador de fútbol playa	profesión	futbolista, jugador competitivo
Torrelavega	ciudad, municipio de Cantabria	
Colombia	país, república, Estado laico, estado soberano	
Richard Gómez	ser humano	
Mercedes Sandoval de Hempel	ser humano	
Miguel Abdón Saguier	ser humano	
Miguel Bonnin	ser humano	
Nelson de Santaní	ser humano	
Ramón Romero Roa	ser humano	
Vicente Anastasio Jara	ser humano	
William Paats Martínez	ser humano	
Willian Candia	ser humano	
Wilhelm Winther	ser humano	
Aldo Florentín	ser humano	
Rubén Roberto Paredes Vera	ser humano	
Alfredo Aguilar	ser humano	
Victor Bernal	ser humano	
Antonio Bordon	ser humano	
Aníbal Carrillo	ser humano	
Marcos Acosta	ser humano	
Eulalio Mora	ser humano	
Antonio Pecci	ser humano	
José Leonardo Cáceres	ser humano	
coreógrafo	Wikidata property to identify contributors to audiovisual works	
San Estanislao	municipio de Paraguay	
periodista	profesión, cargo, ocupación, grupo de ocupaciones de la CIUO	autor, profesional de medios, ocupación mediática, authors, journalists and linguists
Minga Guazú	municipio de Paraguay	
artista visual	profesión artística, grupo de ocupaciones de la CIUO	creative and performing artist
diplomático	profesión, título corporativo	estadista, alto cargo
Universidad de Lund	universidad pública, agencia del gobierno sueco	
Gran Cruz de la Orden del Mérito de Hungría	grado de una orden	Gran Cruz
entrenador de balonmano	profesión, posición en balonmano	entrenador
Maria Constanza Abente Benitez	ser humano	
Andrea Cecilia Sanchez Bogado	ser humano	
Maria Veronica Benitez Sienra	ser humano	
Omar Daniel Gonzalez Villa	ser humano	
Leandro Evair Ferreira Massare	ser humano	
Santiago Daniel Cabrera Bauza	ser humano	
Cesar Mora Sosa	ser humano	
Matias Giuliano Souberlich Gugliotta	ser humano	
Matias Sebastian Ramirez Riquelme	ser humano	
Marcelo Manuel Ferreira Gubetich	ser humano	
Amado Adrian Martinez Vitale	ser humano	
Juan Martin Alonso Alvarez	ser humano	
Marcelo Scura Wismann	ser humano	
Oscar Dario Segovia Rinke	ser humano	
Guido Daniel Ramirez Rodriguez	ser humano	
Reynaldo Ezequiel Ramirez Riquelme	ser humano	
Marcos David Rabino Rolon	ser humano	
Jeremias Jesus Hrisuk Trussi	ser humano	
Alex Fernando Emhart Ortiz	ser humano	
Nelson Martin Benitez Montanes	ser humano	
baloncestista	profesión	deportista, jugador competitivo
Larissa Caceres	ser humano	
Paz Mereles	ser humano	
Bethsaida Ferreira	ser humano	
Sol Ocampo	ser humano	
Victor Aquino	ser humano	
Sebastian Bogado	ser humano	
Mauricio Escurra	ser humano	
Luis Vera	ser humano	
Luis Ortiz	ser humano	
Ignacio Ferreira	ser humano	
Gustavo Palmerola	ser humano	
Carlos Ljubetic	ser humano	
Alexis Negrette	ser humano	
Alex Baran	ser humano	
Alejandro Talavera	ser humano	
Alejandro Krug	ser humano	
Antonio Montiel	ser humano	
Cecilia Caceres	ser humano	
Pamela Encina	ser humano	
Guadalupe Davalos	ser humano	
Diego Morel	ser humano	
Óscar Nicolás López	ser humano	
Felipe Santiago Núñez	ser humano	
Eliodoro Marecos Ibarrola	ser humano	
Juan Ángel Napout	ser humano	
Arnaldo Recalde	ser humano	
Dionicio Pérez	ser humano	
Arnaldo Samaniego	ser humano	
Ceferino Villagra	ser humano	
Leonardo Villagra	ser humano	
Hugo Santacruz	ser humano	
Cristian Sosa Ledesma	ser humano	
Fabián Stark	ser humano	
Crispín Verza	ser humano	
Alberto Noguès	ser humano	
Francisco Romero Vázquez	ser humano	
Lucio Calonga	ser humano	
Virginia Corvalán	ser humano	
Armando Vera	ser humano	
Carlos Olmedo	ser humano	
Mariano Roque Alonso	municipio de Paraguay	
funcionario	profesión, alto cargo, cargo	persona jurídica, burócrata, alto cargo, empleado público
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
presidente	apellido	
R. I. Tres Corrales	municipio de Paraguay	
Yasy Cañy	municipio de Paraguay	
Gran Cruz de la Orden de Isabel la Católica	grado de una orden	Gran Cruz
Celso Guerrero	ser humano	
Charli González	ser humano	
Darío Figueredo	ser humano	
Eumelio Palacios	ser humano	
Dido Florentín Bogado	ser humano	
Julio César Franco	ser humano	
Francisco Silva Cabrera	ser humano	
Marcelino Blanco	ser humano	
Marcial Garay	ser humano	
Iván Ramírez	ser humano	
Nery Ortiz	ser humano	
Juan Carlos Lezcano López	ser humano	
Juan Franco Arrellaga	ser humano	
Juan Manuel Marcos	ser humano	
Oscar Surián	ser humano	
Lilian Samaniego	ser humano	
Ramón Alfredo Escobar	ser humano	
Luis María Ramírez Boettner	ser humano	
Lázaro Morga Lacalle	ser humano	
Ricardo González Rotela	ser humano	
Colonia Independencia (Paraguay)	municipio de Paraguay	
Juan E. O' Leary	municipio de Paraguay	
Universidad Harvard	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Universidad de California	Universidad de concesión de tierras, sistema de universidad estatal	
Escuela de Derecho Harvard	facultad de derecho, editorial, escuela de postgrado	
ministro de Relaciones Exteriores	cargo público, cargo	ministro de Relaciones Exteriores
Marin José Guimaraens	ser humano	
Roger Miller Rojas	ser humano	
Soledad Barrett Viedma	ser humano	
Antonio Guasch	ser humano	
Orlando Ramón Giménez Álvarez	ser humano	
Luis César Ortiz Aquino	ser humano	
Juvencio Osorio	ser humano	
Heiko Grobenstieg	ser humano	
Gustavo Miño	ser humano	
Antonio Zaracho	ser humano	
Rodney Aquino	ser humano	
Alcides Báez	ser humano	
Carlos Melanio Espínola	ser humano	
Gerónimo Ovelar	ser humano	
Flamínio Sosa	ser humano	
César Serna	ser humano	
Lidio Benítez	ser humano	
Isabelino Acosta	ser humano	
Diego Fabián Barreto	ser humano	
Arecio Colmán	ser humano	
