entidad	instancia_de	subclase_de
Lina Medina	ser humano	
productor discográfico	profesión musical	músico, productor
Orden El Sol del Perú	orden estatal	
Premio NightMoves	pornographic film award	pornographic film award
politólogo	profesión	científico social
Universidad Nacional de Trujillo	universidad, editor de acceso abierto	
Universidad de Lima	universidad privada, editor de acceso abierto	
Primera dama de Perú	título, cargo	primera dama
Andahuaylas	ciudad	
Santiago de Chuco	página de desambiguación de Wikimedia	
Los heraldos negros	obra literaria	
Universidad de Columbia	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Cabana	página de desambiguación de Wikimedia	
conferenciante	profesión, cargo	orador
Stanford Graduate School of Education	organización, facultad universitaria, institución académica, escuela de postgrado	
Dresde	página de desambiguación de Wikimedia	
matemático	profesión, ocupación, grupo de ocupaciones de la CIUO	científico, mathematicians, actuaries and statisticians
Universidad Técnica de Dresde	organización, universidad pública, Fachhochschule, universidad pública de investigación, University of Excellence	
Líneas de Nazca	geoglifo, yacimiento arqueológico	
Universidad Nacional Federico Villarreal	universidad	
nadador	ocupación	deportista
Universidad de Míchigan	institución educativa pública de los Estados Unidos, universidad pública de investigación	
Ministro de Economía y Finanzas del Perú	cargo	ministro de finanzas
Ministro de Trabajo y Promoción del Empleo del Perú	cargo	ministro de Trabajo
Distrito de Ticrapo	distrito de Perú	
estenógrafo	profesión, cargo	auxiliar administrativo
lingüista	profesión, ocupación, profesión académica	filólogo, language specialist
José Luis Bustamante y Rivero	ser humano	
Gerardo Chávez	ser humano	
Valentín Paniagua	ser humano	
Fernando Belaúnde Terry	ser humano	
Manuel Prado Ugarteche	ser humano	
Ricardo Pérez Godoy	ser humano	
Luis Miguel Sánchez Cerro	ser humano	
Víctor Larco Herrera	ser humano	
Adolfo Winternitz	ser humano	
Claudio Pizarro	ser humano	
Junior Ross	ser humano	
Nicolás Lindley	ser humano	
Francisco Morales Bermúdez	ser humano	
Manuel Odría	ser humano	
Elexander Araujo	ser humano	
Tongo	ser humano	
Deyair Reyes	ser humano	
Tarek Carranza	ser humano	
Óscar R. Benavides	ser humano	
Zenón Noriega	ser humano	
