entidad	instancia_de	subclase_de
Santiago Calle	ser humano	
Mercedes Jijón	ser humano	
Enner Valencia	ser humano	
César De Cesare	ser humano	
Antonio Villavicencio	ser humano	
José Pabón	ser humano	
Eduardo Morante	ser humano	
Ángel Polibio Cháves	ser humano	
Byron Camacho	ser humano	
Marlon Valverde	ser humano	
José Gavica	ser humano	
Juan de Dios Martínez Mera	ser humano	
Antonio Noboa	ser humano	
Lucho Silva	ser humano	
Byron Piedra	ser humano	
La Troncal	ciudad	
Cañar	provincia de Ecuador	
Morón	página de desambiguación de Wikimedia	
piragüista	profesión	deportista
Universidad del Rosario	universidad privada, editor de acceso abierto	
empresario	ocupación	
saxofonista	ocupación, profesión musical	intérprete de instrumento de viento-madera
maratonista	profesión	fondista
José Joaquín de Olmedo	ser humano	
José Luis Quiñónez	ser humano	
Juan Cazares	ser humano	
Jaime Ayoví	ser humano	
Ángel Oswaldo Fernández	ser humano	
Rolando Vera	ser humano	
Pedro Delgado Campaña	ser humano	
Jorge Icaza	ser humano	
Francisco Andrade Marín	ser humano	
Mike Rodríguez	ser humano	
Paulo Caicedo	ser humano	
Vicente Cabrera Funes	ser humano	
Fernando Tamayo	ser humano	
Fierro Chávez	ser humano	
Camilo Luzuriaga	ser humano	
Carlos Aníbal Altamirano Argüello	ser humano	
Carlos Muñoz Martínez	ser humano	
Juan José Govea	ser humano	
Clímaco Jacinto Zarauz Carrillo	ser humano	
Sixto Vizuete	ser humano	
terrateniente	ocupación	propietario, agricultural and forestry production managers
Universidad Nacional Mayor de San Marcos	monumento histórico, bien cultural, editor de acceso abierto, universidad pública de investigación	
Convictorio de San Carlos	colegio mayor	
Rosa Zárate	ser humano	
Machala	ciudad	
banquero	profesión, ocupación	empresario, bank employee
Instituto Nacional Mejía	escuela secundaria	
Huasipungo	obra literaria	
Universidad de Massachusetts	sistema de universidad estatal	
Universidad de Leipzig	universidad pública, Fachhochschule, comprehensive university, editor de acceso abierto	
Freddy Cadena	ser humano	
Walter Calderón	ser humano	
Raúl Holguer López Mayorga	ser humano	
Segundo René Coba Galarza	ser humano	
José Javier Eguiguren	ser humano	
José Félix Valdivieso	ser humano	
Roberto Quistial	ser humano	
José María Plácido Caamaño	ser humano	
Rorys Aragón	ser humano	
Erwin Ramírez	ser humano	
Martha Fierro	ser humano	
Fernanda Cornejo	ser humano	
Santiago Zambrano	ser humano	
Raúl Avilés	ser humano	
Hólger Quiñónez	ser humano	
Segundo Navarrete	ser humano	
Segundo Luis Moreno	ser humano	
Jerónimo Carrión	ser humano	
Jefferson Montero	ser humano	
Johvani Ibarra	ser humano	
director de orquesta	propiedad de Wikidata para elementos sobre organizaciones, propiedad de Wikidata relacionada con la música	
Conservatorio de Moscú	conservatorio de música, punto de referencia	
