entidad,relacion,objeto,source_file
César Calvo,Premio recibido,Premio El Poeta Joven del Perú,peru
César Calvo,Fecha de nacimiento,1940-07-26,peru
César Calvo,Fecha de defunción,2000-08-18,peru
César Calvo,Ocupación,escritor,peru
César Calvo,Ocupación,poeta,peru
César Calvo,Ocupación,periodista,peru
Juan Reynoso,Lugar de nacimiento,Lima,peru
Juan Reynoso,Ocupación,entrenador,peru
Juan Reynoso,Ciudadanía,Perú,peru
Juan Reynoso,Fecha de nacimiento,1969-12-28,peru
Juan Reynoso,Ocupación,futbolista,peru
Jorge Chávez,Lugar de nacimiento,París,peru
Jorge Chávez,Ocupación,ingeniero,peru
Jorge Chávez,Ciudadanía,Francia,peru
Jorge Chávez,Educado en,Lycée Carnot,peru
Jorge Chávez,Premio recibido,Medalla Aeronáutica,peru
Jorge Chávez,Fecha de nacimiento,1887-06-13,peru
Jorge Chávez,Fecha de defunción,1910-09-27,peru
Jorge Chávez,Ocupación,aviador militar,peru
Jorge Chávez,Premio recibido,Héroe Nacional del Perú,peru
Jorge Chávez,Premio recibido,Gran Oficial de la Medalla de Honor del Congreso de la República,peru
Jorge Chávez,Premio recibido,Gran Cruz de la Cruz Peruana al Mérito Aeronáutico,peru
Jorge Chávez,Ciudadanía,Perú,peru
Jorge Chávez,Educado en,École d'ingénieurs en génie des systèmes industriels,peru
Diego Valverde Villena,Lugar de nacimiento,Lima,peru
Diego Valverde Villena,Ocupación,escritor,peru
Diego Valverde Villena,Ciudadanía,Perú,peru
Diego Valverde Villena,Educado en,Universidad Complutense de Madrid,peru
Diego Valverde Villena,Fecha de nacimiento,1967-04-06,peru
Diego Valverde Villena,Ocupación,poeta,peru
Diego Valverde Villena,Ocupación,traductor,peru
Diego Valverde Villena,Ocupación,ensayista,peru
Diego Valverde Villena,Ocupación,lingüista,peru
Diego Valverde Villena,Educado en,Universidad de Salamanca,peru
Diego Valverde Villena,Educado en,Universidad de Valladolid,peru
Carlos Ferrero Costa,Lugar de nacimiento,Lima,peru
Carlos Ferrero Costa,Ocupación,abogado,peru
Carlos Ferrero Costa,Ciudadanía,Perú,peru
