entidad,relacion,objeto,source_file
Emilio Umanzor,Lugar de nacimiento,Olanchito,honduras
Emilio Umanzor,Ocupación,entrenador,honduras
Emilio Umanzor,Ciudadanía,Honduras,honduras
Emilio Umanzor,Fecha de nacimiento,1973-10-19,honduras
Emilio Umanzor,Ocupación,futbolista,honduras
Emilson Cruz,Lugar de nacimiento,Tegucigalpa,honduras
Emilson Cruz,Ocupación,entrenador,honduras
Emilson Cruz,Ciudadanía,Honduras,honduras
Emilson Cruz,Fecha de nacimiento,1987-10-24,honduras
Emilson Cruz,Ocupación,futbolista,honduras
Enrique Flores Lanza,Ocupación,abogado,honduras
Enrique Flores Lanza,Ciudadanía,Honduras,honduras
Enrique Flores Lanza,Ocupación,político,honduras
Erick Andino,Lugar de nacimiento,San Pedro Sula,honduras
Erick Andino,Ocupación,entrenador,honduras
Erick Andino,Ciudadanía,Honduras,honduras
Erick Andino,Fecha de nacimiento,1989-07-21,honduras
Erick Andino,Ocupación,futbolista,honduras
periodista,instancia de,profesión,honduras
periodista,instancia de,cargo,honduras
periodista,instancia de,ocupación,honduras
periodista,instancia de,grupo de ocupaciones de la CIUO,honduras
periodista,subclase de,autor,honduras
Universidad de Phoenix,país,Estados Unidos,honduras
Universidad de Phoenix,instancia de,universidad,honduras
Universidad de Phoenix,fundador,John Sperling,honduras
Universidad de Phoenix,situado en la entidad territorial administrativa,Phoenix,honduras
Roatán,país,Honduras,honduras
Roatán,instancia de,isla,honduras
Roatán,instancia de,asentamiento,honduras
Roatán,situado en la entidad territorial administrativa,Departamento de Islas de la Bahía,honduras
Roatán,situado cerca del cuerpo de agua,Mar Caribe,honduras
actor,instancia de,profesión,honduras
actor,instancia de,ocupación,honduras
actor,instancia de,grupo de ocupaciones de la CIUO,honduras
actor,subclase de,artista escénico,honduras
Brassavola de oro,instancia de,distinción,honduras
Brassavola de oro,fundador,Museo del Hombre Hondureño,honduras
Brassavola de oro,lugar de formación,Tegucigalpa,honduras
político,instancia de,profesión,honduras
político,instancia de,frecuentemente,honduras
político,subclase de,profesional,honduras
político,ámbito de la ocupación,política,honduras
político,categoría principal del tema,Categoría:Políticos,honduras
vicepresidente,instancia de,cargo,honduras
vicepresidente,instancia de,título corporativo,honduras
vicepresidente,instancia de,ocupación,honduras
vicepresidente,precedido por,vicepresidente electo,honduras
vicepresidente,subclase de,alto cargo,honduras
Universidad de Notre Dame,país,Estados Unidos,honduras
Universidad de Notre Dame,instancia de,universidad católica,honduras
Universidad de Notre Dame,instancia de,universidad privada,honduras
Universidad de Notre Dame,instancia de,institución educativa privada sin fines de lucro,honduras
Universidad de Notre Dame,instancia de,editor de acceso abierto,honduras
La Libertad,país,Honduras,honduras
La Libertad,instancia de,municipio de Honduras,honduras
La Libertad,situado en la entidad territorial administrativa,Departamento de Comayagua,honduras
Sonaguera,país,Honduras,honduras
Sonaguera,instancia de,municipio de Honduras,honduras
Sonaguera,situado en la entidad territorial administrativa,Departamento de Colón,honduras
activista por los derechos humanos,instancia de,ocupación,honduras
activista por los derechos humanos,subclase de,activista político,honduras
activista por los derechos humanos,categoría principal del tema,Categoría:Activistas por los derechos humanos,honduras
activista por los derechos humanos,lista de interés para el proyecto Wikimedia,Wikiproyecto:Derechos humanos,honduras
esgrimista,instancia de,ocupación,honduras
esgrimista,subclase de,deportista,honduras
esgrimista,ámbito de la ocupación,esgrima,honduras
esgrimista,categoría principal del tema,Categoría:Esgrimidores,honduras
