entidad,relacion,objeto,source_file
Miss Universo 2009,ubicación,Nasáu,colombia
Amalfi,país,Colombia,colombia
Amalfi,instancia de,municipio de Colombia,colombia
Amalfi,situado en la entidad territorial administrativa,Nordeste antioqueño,colombia
Amalfi,categoría principal del tema,Categoría:Amalfi (Antioquia),colombia
Universidad de los Andes,país,Colombia,colombia
Universidad de los Andes,instancia de,universidad,colombia
Universidad de los Andes,instancia de,universidad privada,colombia
Universidad de los Andes,instancia de,editor de acceso abierto,colombia
Universidad de los Andes,fundador,Mario Laserna Pinzón,colombia
libro,instancia de,tipo de publicación,colombia
libro,instancia de,tipo de medios de comunicación,colombia
libro,subclase de,documento,colombia
libro,subclase de,medio de comunicación,colombia
libro,subclase de,publicación,colombia
Ibagué,país,Colombia,colombia
Ibagué,instancia de,ciudad,colombia
Ibagué,instancia de,gran ciudad,colombia
Ibagué,instancia de,municipio de Colombia,colombia
Ibagué,situado en la entidad territorial administrativa,Tolima,colombia
taekwondista,instancia de,profesión,colombia
taekwondista,instancia de,ocupación,colombia
taekwondista,subclase de,deportista,colombia
taekwondista,ámbito de la ocupación,taekwondo,colombia
taekwondista,ámbito de la ocupación,taekwondo adaptado,colombia
Villavicencio,país,Colombia,colombia
Villavicencio,instancia de,gran ciudad,colombia
Villavicencio,instancia de,municipio de Colombia,colombia
Villavicencio,instancia de,ciudad de Colombia,colombia
Villavicencio,comparte fronteras con,Cundinamarca,colombia
abogado,instancia de,profesión jurídica,colombia
abogado,subclase de,jurista,colombia
abogado,santo patrón,Catalina de Alejandría,colombia
abogado,santo patrón,Alfonso María de Ligorio,colombia
abogado,santo patrón,Raimundo de Peñafort,colombia
Universidad Autónoma de Colombia,país,Colombia,colombia
Universidad Autónoma de Colombia,instancia de,universidad,colombia
Universidad Autónoma de Colombia,instancia de,editor de acceso abierto,colombia
Universidad Autónoma de Colombia,situado en la entidad territorial administrativa,Bogotá,colombia
Universidad Autónoma de Colombia,miembro de,Asociación Colombiana de Universidades,colombia
Departamento del Meta,país,Colombia,colombia
Departamento del Meta,instancia de,departamento de Colombia,colombia
Departamento del Meta,capital,Villavicencio,colombia
Departamento del Meta,comparte fronteras con,Casanare,colombia
Departamento del Meta,comparte fronteras con,Caquetá,colombia
Albacete,país,España,colombia
Albacete,continente,Europa,colombia
Albacete,instancia de,municipio de España,colombia
Albacete,capital,Ciudad de Albacete,colombia
Albacete,comparte fronteras con,Valdeganga,colombia
