entidad,relacion,objeto,source_file
político,categoría principal del tema,Categoría:Políticos,costa_rica
Costa Rica,santo patrón,Virgen de los Ángeles,costa_rica
Costa Rica,miembro de,Organización de las Naciones Unidas,costa_rica
Costa Rica,miembro de,UNESCO,costa_rica
Instituto de Derecho Internacional,país,Bélgica,costa_rica
Instituto de Derecho Internacional,instancia de,organización no gubernamental,costa_rica
Instituto de Derecho Internacional,instancia de,organización sin fines de lucro,costa_rica
Instituto de Derecho Internacional,instancia de,sociedad erudita,costa_rica
Instituto de Derecho Internacional,instancia de,academia nacional,costa_rica
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,país,Estados Unidos,costa_rica
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,instancia de,rango diplomático,costa_rica
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,subclase de,ministro plenipotenciario,costa_rica
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,subclase de,enviado extraordinario,costa_rica
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,organización dirigida desde este cargo,Legación de El Salvador en los Estados Unidos de América,costa_rica
Cantón de San José,cargo ocupado por el jefe de gobierno,Alcalde de San José,costa_rica
Cantón de San José,país,Costa Rica,costa_rica
Cantón de San José,instancia de,cantón de Costa Rica,costa_rica
Cantón de San José,capital,San José,costa_rica
futbolista,instancia de,profesión,costa_rica
futbolista,instancia de,ocupación,costa_rica
futbolista,subclase de,jugador competitivo,costa_rica
futbolista,subclase de,Jugador de fútbol,costa_rica
Limón,país,Costa Rica,costa_rica
Limón,instancia de,ciudad,costa_rica
Limón,instancia de,distrito de Costa Rica,costa_rica
Limón,situado en la entidad territorial administrativa,Cantón de Limón,costa_rica
Limón,ciudad hermana,Galați,costa_rica
Fernando Correque,sexo o género,masculino,costa_rica
Fernando Correque,país de nacionalidad,Costa Rica,costa_rica
Fernando Correque,instancia de,ser humano,costa_rica
Fernando Correque,ocupación,político,costa_rica
Fernando Correque,nombre de pila,Fernando,costa_rica
Ujarrás,país,Costa Rica,costa_rica
Ujarrás,instancia de,Reservas indígenas de Costa Rica,costa_rica
San José,jefe de gobierno,Diego Miranda Méndez,costa_rica
San José,país,Costa Rica,costa_rica
San José,instancia de,ciudad,costa_rica
San José,instancia de,entidad territorial administrativa,costa_rica
San José,instancia de,gran ciudad,costa_rica
abogado,instancia de,profesión jurídica,costa_rica
abogado,subclase de,jurista,costa_rica
abogado,santo patrón,Catalina de Alejandría,costa_rica
abogado,santo patrón,Alfonso María de Ligorio,costa_rica
abogado,santo patrón,Raimundo de Peñafort,costa_rica
Escuela de Derecho Harvard,país,Estados Unidos,costa_rica
Escuela de Derecho Harvard,instancia de,facultad de derecho,costa_rica
Escuela de Derecho Harvard,instancia de,editorial,costa_rica
Escuela de Derecho Harvard,instancia de,escuela de postgrado,costa_rica
Escuela de Derecho Harvard,situado en la entidad territorial administrativa,Cambridge,costa_rica
Corredor,país,Costa Rica,costa_rica
Corredor,instancia de,distrito de Costa Rica,costa_rica
Corredor,situado en la entidad territorial administrativa,Provincia de Puntarenas,costa_rica
Corredor,situado en la entidad territorial administrativa,Cantón de Corredores,costa_rica
entrenador,instancia de,profesión,costa_rica
entrenador,instancia de,ocupación,costa_rica
entrenador,ámbito de la ocupación,fútbol,costa_rica
entrenador,deporte,fútbol,costa_rica
pintor,instancia de,ocupación,costa_rica
pintor,instancia de,profesión artística,costa_rica
pintor,subclase de,artista visual,costa_rica
pintor,santo patrón,Lucas el Evangelista,costa_rica
pintor,ámbito de la ocupación,pintura,costa_rica
escultor,instancia de,profesión artística,costa_rica
escultor,subclase de,artesano,costa_rica
escultor,subclase de,artista visual,costa_rica
escultor,subclase de,artista plástico,costa_rica
escultor,ámbito de la ocupación,escultura,costa_rica
músico,instancia de,ocupación,costa_rica
músico,instancia de,profesión musical,costa_rica
músico,ocupación,pintor,costa_rica
músico,subclase de,artista,costa_rica
músico,ámbito de la ocupación,música,costa_rica
calypsonian,instancia de,instrumentalista,costa_rica
calypsonian,instancia de,ocupación,costa_rica
calypsonian,subclase de,cantante,costa_rica
calypsonian,ámbito de la ocupación,Calipso,costa_rica
primera dama o primer caballero de Costa Rica,país,Costa Rica,costa_rica
primera dama o primer caballero de Costa Rica,instancia de,cargo,costa_rica
primera dama o primer caballero de Costa Rica,categoría principal del tema,Categoría:Primeras damas de Costa Rica,costa_rica
primera dama o primer caballero de Costa Rica,aplica a la jurisdicción,Costa Rica,costa_rica
Orden de Isabel la Católica,país,España,costa_rica
Orden de Isabel la Católica,instancia de,orden,costa_rica
Orden de Isabel la Católica,instancia de,condecoración civil,costa_rica
Orden de Isabel la Católica,fundador,Fernando VII de España,costa_rica
Orden de Isabel la Católica,compuesto por,Gran Cruz de la Orden de Isabel la Católica,costa_rica
juez,instancia de,embede,costa_rica
juez,instancia de,profesión jurídica,costa_rica
juez,instancia de,grupo de ocupaciones de la CIUO,costa_rica
juez,subclase de,jurista,costa_rica
escritor,instancia de,profesión,costa_rica
escritor,instancia de,ocupación,costa_rica
escritor,subclase de,autor,costa_rica
escritor,subclase de,artista,costa_rica
Provincia de Guanacaste,país,Costa Rica,costa_rica
Provincia de Guanacaste,instancia de,provincia de Costa Rica,costa_rica
Provincia de Guanacaste,capital,Liberia,costa_rica
Provincia de Guanacaste,comparte fronteras con,Provincia de Puntarenas,costa_rica
Provincia de Guanacaste,comparte fronteras con,Provincia de Alajuela,costa_rica
botánico,instancia de,profesión,costa_rica
botánico,subclase de,biólogo,costa_rica
botánico,ámbito de la ocupación,botánica,costa_rica
botánico,categoría principal del tema,Categoría:Botánicos,costa_rica
botánico,plantilla principal del tema,Plantilla:Botánico,costa_rica
Universidad de Costa Rica,país,Costa Rica,costa_rica
Universidad de Costa Rica,instancia de,universidad,costa_rica
Universidad de Costa Rica,instancia de,editor de acceso abierto,costa_rica
Universidad de Costa Rica,situado en la entidad territorial administrativa,Cantón de Montes de Oca,costa_rica
Universidad de Costa Rica,filial,"Vicerrectoría de Investigación, Universidad de Costa Rica",costa_rica
Gran Cruz de la Orden de Isabel la Católica,país,España,costa_rica
Gran Cruz de la Orden de Isabel la Católica,instancia de,grado de una orden,costa_rica
Gran Cruz de la Orden de Isabel la Católica,subclase de,Gran Cruz,costa_rica
Gran Cruz de la Orden de Isabel la Católica,forma parte de,Orden de Isabel la Católica,costa_rica
Gran Cruz de la Orden de Isabel la Católica,categoría para los galardonados con este premio,Categoría:Caballeros grandes cruces de la Orden de Isabel la Católica,costa_rica
La Nación,país,Costa Rica,costa_rica
La Nación,instancia de,diario,costa_rica
La Nación,fundador,Ricardo Castro Béeche,costa_rica
La Nación,ubicación de la sede,San José,costa_rica
La Nación,premio recibido,Premio María Moors Cabot,costa_rica
Alajuela,país,Costa Rica,costa_rica
Alajuela,instancia de,ciudad,costa_rica
Alajuela,instancia de,distrito de Costa Rica,costa_rica
Alajuela,situado en la entidad territorial administrativa,Cantón de Alajuela,costa_rica
Alajuela,ciudad hermana,Hangzhou,costa_rica
Sorbonne Universidad de París,país,Francia,costa_rica
Sorbonne Universidad de París,instancia de,universidad en Francia,costa_rica
