entidad,relacion,objeto,source_file
Pedro Lemebel,Obra notable,"Tengo miedo, torero",chile
Pedro Lemebel,Miembro de,Sociedad de Escritores de Chile,chile
Pedro Lemebel,Premio recibido,Premio Anna Seghers,chile
Pedro Lemebel,Fecha de nacimiento,1952-11-21,chile
Pedro Lemebel,Fecha de defunción,2015-01-22,chile
Pedro Lemebel,Ocupación,novelista,chile
Pedro Lemebel,Ocupación,artista de performance,chile
Pedro Lemebel,Ocupación,activista LGBTI,chile
Pedro Lemebel,Ocupación,artista plástico,chile
Pedro Lemebel,Premio recibido,Beca Guggenheim,chile
Pedro Lemebel,Premio recibido,Premio Iberoamericano de Letras José Donoso,chile
Pedro Lemebel,Educado en,Liceo Manuel Barros Borgoño,chile
Soledad Alvear,Lugar de nacimiento,Santiago de Chile,chile
Soledad Alvear,Ocupación,abogado,chile
Soledad Alvear,Ciudadanía,Chile,chile
Soledad Alvear,Educado en,Universidad de Chile,chile
Soledad Alvear,Cargo,senador de Chile,chile
Soledad Alvear,Premio recibido,Gran Cruz de la Orden de Isabel la Católica,chile
Soledad Alvear,Fecha de nacimiento,1950-09-17,chile
Soledad Alvear,Ocupación,político,chile
Soledad Alvear,Ocupación,diplomático,chile
Soledad Alvear,Premio recibido,Gran Cruz de la Orden El Sol del Perú,chile
Soledad Alvear,Educado en,Liceo Nº 1 Javiera Carrera,chile
Soledad Alvear,Cargo,ministro de Relaciones Exteriores de Chile,chile
Bárbara Riveros,Lugar de nacimiento,Santiago de Chile,chile
Bárbara Riveros,Ocupación,triatleta,chile
Bárbara Riveros,Ciudadanía,Chile,chile
Bárbara Riveros,Educado en,Saint George's College,chile
Bárbara Riveros,Premio recibido,Premio al mejor deportista de Chile,chile
Bárbara Riveros,Fecha de nacimiento,1987-08-03,chile
Bárbara Riveros,Premio recibido,Premio Nacional del Deporte de Chile,chile
Manuela Martelli,Lugar de nacimiento,Santiago de Chile,chile
Manuela Martelli,Ocupación,guionista,chile
Manuela Martelli,Ciudadanía,Chile,chile
Manuela Martelli,Educado en,Pontificia Universidad Católica de Chile,chile
Manuela Martelli,Premio recibido,Anexo:Platino a la mejor ópera prima de ficción iberoamericana,chile
Manuela Martelli,Fecha de nacimiento,1983-04-16,chile
Manuela Martelli,Ocupación,director de cine,chile
Manuela Martelli,Ocupación,actor de cine,chile
Manuela Martelli,Ocupación,guionista de cine,chile
Andrés Bello,Lugar de nacimiento,Caracas,chile
Andrés Bello,Ocupación,escritor,chile
Andrés Bello,Ciudadanía,Chile,chile
