entidad,relacion,objeto
Orlando Letelier,Educado en,Universidad de Chile
Orlando Letelier,Empleador,Universidad Americana
Orlando Letelier,Cargo,embajador
Orlando Letelier,Fecha de nacimiento,1932-04-13
Orlando Letelier,Fecha de defunción,1976-09-21
Orlando Letelier,Ocupación,economista
Orlando Letelier,Ocupación,diplomático
Orlando Letelier,Educado en,Instituto Nacional
Orlando Letelier,Educado en,Liceo José Victorino Lastarria
Orlando Letelier,Empleador,Transnational Institute
Orlando Letelier,Empleador,Institute for Policy Studies
Orlando Letelier,Empleador,Ministerio del Interior
Orlando Letelier,Cargo,ministro de Relaciones Exteriores de Chile
Orlando Letelier,Cargo,ministro de Defensa Nacional de Chile
Orlando Letelier,Cargo,ministro del Interior de Chile
Gioconda Belli,Lugar de nacimiento,Managua
Gioconda Belli,Ocupación,ensayista
Gioconda Belli,Ciudadanía,España
Gioconda Belli,Obra notable,La mujer habitada
Gioconda Belli,Miembro de,Academia Nicaragüense de la Lengua
Gioconda Belli,Premio recibido,Das politische Buch
Gioconda Belli,Fecha de nacimiento,1948-12-09
Gioconda Belli,Ocupación,activista
Gioconda Belli,Ocupación,escritor
Gioconda Belli,Premio recibido,Premio Biblioteca Breve
Gioconda Belli,Ocupación,poeta
Gioconda Belli,Ocupación,periodista
Gioconda Belli,Premio recibido,Premio Sor Juana Inés de la Cruz
Gioconda Belli,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana
Gioconda Belli,Premio recibido,Premio de Poesía Generación del 27
Gioconda Belli,Premio recibido,Premio Internacional de Poesía Ciudad de Melilla
Gioconda Belli,Premio recibido,caballero de las Artes y las Letras
Gioconda Belli,Ciudadanía,Italia
Gioconda Belli,Premio recibido,Premio Hermann Kesten
Gioconda Belli,Premio recibido,Premio Casa de las Américas
Gioconda Belli,Premio recibido,Premio Anna Seghers
José Donoso,Lugar de nacimiento,Santiago de Chile
José Donoso,Ocupación,escritor
José Donoso,Ciudadanía,Chile
José Donoso,Educado en,Universidad de Chile
José Donoso,Empleador,Universidad de Princeton
José Donoso,Obra notable,El lugar sin límites
José Donoso,Premio recibido,Encomienda de la Orden Civil de Alfonso X el Sabio
José Donoso,Fecha de nacimiento,1924-10-05
José Donoso,Fecha de defunción,1996-12-07
José Donoso,Ocupación,periodista
José Donoso,Ocupación,guionista
José Donoso,Premio recibido,Gran Cruz de la Orden del Mérito Civil
José Donoso,Educado en,Pontificia Universidad Católica de Chile
José Donoso,Premio recibido,Orden al Mérito Docente y Cultural Gabriela Mistral
José Donoso,Premio recibido,caballero de las Artes y las Letras
José Donoso,Premio recibido,America Award in Literature
José Donoso,Educado en,Liceo José Victorino Lastarria
José Donoso,Educado en,The Grange School
Esteban Paredess,Lugar de nacimiento,Santiago de Chile
Esteban Paredess,Ocupación,futbolista
Esteban Paredess,Ciudadanía,Chile
Esteban Paredess,Fecha de nacimiento,1980-08-01
Gonzalo Fierro,Lugar de nacimiento,Santiago de Chile
Gonzalo Fierro,Ocupación,futbolista
Gonzalo Fierro,Ciudadanía,Chile
Gonzalo Fierro,Fecha de nacimiento,1983-03-21
Gioconda Belli,Ciudadanía,Chile
Roberto Matta,Lugar de nacimiento,Santiago de Chile
Roberto Matta,Ocupación,escultor
Roberto Matta,Ciudadanía,Chile
Roberto Matta,Educado en,Pontificia Universidad Católica de Chile
Roberto Matta,Miembro de,Real Academia de Artes
Roberto Matta,Premio recibido,Premio Nacional de Arte de Chile
Roberto Matta,Fecha de nacimiento,1911-11-11
Roberto Matta,Fecha de defunción,2002-11-23
Roberto Matta,Ocupación,artista gráfico
Roberto Matta,Ocupación,artista visual
Roberto Matta,Ocupación,diseñador
Roberto Matta,Ocupación,grabador
Roberto Matta,Ocupación,litógrafo
Roberto Matta,Ocupación,arquitecto
Roberto Matta,Premio recibido,Orden al Mérito Docente y Cultural Gabriela Mistral
Roberto Matta,Ocupación,pintor
Roberto Matta,Educado en,Colegio de los Sagrados Corazones de Santiago
Pedro Subercaseaux,Lugar de nacimiento,Roma
Pedro Subercaseaux,Ocupación,monje
Pedro Subercaseaux,Ciudadanía,Chile
Pedro Subercaseaux,Obra notable,Federico Von Pilsener
Pedro Subercaseaux,Fecha de nacimiento,1880-12-10
Pedro Subercaseaux,Fecha de defunción,1956-01-03
Pedro Subercaseaux,Ocupación,pintor
Pedro Subercaseaux,Obra notable,Mariano Moreno en su mesa de trabajo
Pedro Subercaseaux,Obra notable,El joven Lautaro
Alejandro Amenábar,Lugar de nacimiento,Santiago de Chile
Alejandro Amenábar,Ocupación,compositor de bandas sonoras
Alejandro Amenábar,Ciudadanía,Chile
Alejandro Amenábar,Educado en,Universidad Complutense de Madrid
Alejandro Amenábar,Premio recibido,Premio Máquina del Tiempo
Alejandro Amenábar,Fecha de nacimiento,1972-03-31
Gioconda Belli,Ciudadanía,Nicaragua
Santiago Cabrera,Lugar de nacimiento,Caracas
Santiago Cabrera,Ocupación,actor de cine
Santiago Cabrera,Ciudadanía,Chile
Santiago Cabrera,Educado en,Drama Centre London
Santiago Cabrera,Fecha de nacimiento,1978-05-05
Eladio Vicuña Aránguiz,Lugar de nacimiento,Santiago de Chile
Eladio Vicuña Aránguiz,Ocupación,sacerdote católico
Eladio Vicuña Aránguiz,Ciudadanía,Chile
Eladio Vicuña Aránguiz,Cargo,obispo diocesano
Eladio Vicuña Aránguiz,Fecha de nacimiento,1911-06-02
Eladio Vicuña Aránguiz,Fecha de defunción,2008-06-29
Eladio Vicuña Aránguiz,Ocupación,obispo católico
Eladio Vicuña Aránguiz,Cargo,arzobispo de Puerto Montt
Rodrigo Tello,Lugar de nacimiento,Santiago de Chile
Rodrigo Tello,Ocupación,futbolista
Rodrigo Tello,Ciudadanía,Chile
Rodrigo Tello,Fecha de nacimiento,1979-10-14
Mariano Latorre,Lugar de nacimiento,Cobquecura
Mariano Latorre,Ocupación,escritor
Mariano Latorre,Ciudadanía,Chile
Mariano Latorre,Educado en,Universidad de Chile
Mariano Latorre,Empleador,Universidad de Chile
Mariano Latorre,Premio recibido,Premio Nacional de Literatura
Mariano Latorre,Fecha de nacimiento,1886-01-04
Mariano Latorre,Fecha de defunción,1955-11-10
Mariano Latorre,Premio recibido,Premio Atenea
Max Jara,Lugar de nacimiento,Yerbas Buenas
Max Jara,Ocupación,escritor
Max Jara,Ciudadanía,Chile
Max Jara,Premio recibido,Premio Nacional de Literatura
Max Jara,Fecha de nacimiento,1884-08-21
Max Jara,Fecha de defunción,1965-07-06
Max Jara,Ocupación,poeta
Max Jara,Fecha de nacimiento,1886-08-21
José Santos León,Lugar de nacimiento,Concepción
José Santos León,Ocupación,jockey
José Santos León,Ciudadanía,Estados Unidos
José Santos León,Premio recibido,Best Jockey ESPY Award
José Santos León,Fecha de nacimiento,1961-04-26
José Santos León,Premio recibido,Eclipse Award for Outstanding Jockey
José Santos León,Premio recibido,George Woolf Memorial Jockey Award
José Santos León,Ciudadanía,Chile
Jorge Valdivia,Lugar de nacimiento,Maracay
Jorge Valdivia,Ocupación,futbolista
Jorge Valdivia,Ciudadanía,Chile
Jorge Valdivia,Fecha de nacimiento,1983-10-19
Nicanor Parra,Lugar de nacimiento,San Fabián
Nicanor Parra,Ocupación,escritor
Nicanor Parra,Ciudadanía,Chile
Nicanor Parra,Educado en,Universidad de Oxford
Nicanor Parra,Empleador,Universidad de Chile
Nicanor Parra,Premio recibido,Premio Miguel de Cervantes
Nicanor Parra,Fecha de nacimiento,1914-09-05
Nicanor Parra,Fecha de defunción,2018-01-23
Nicanor Parra,Ocupación,poeta
Nicanor Parra,Ocupación,físico
Nicanor Parra,Ocupación,matemático
Nicanor Parra,Ocupación,académico
Nicanor Parra,Premio recibido,Premio Nacional de Literatura
Nicanor Parra,Premio recibido,Beca Guggenheim
Nicanor Parra,Premio recibido,Premio FIL de Literatura en Lenguas Romances
Nicanor Parra,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana
Nicanor Parra,Premio recibido,Premio Iberoamericano de Poesía Pablo Neruda
Nicanor Parra,Premio recibido,Premio Bicentenario
Nicanor Parra,Educado en,Universidad Brown
Ignacio Domeyko,Lugar de nacimiento,Niedźwiadka estate
Ignacio Domeyko,Ocupación,geólogo
