entidad,relacion,objeto
Carlos Ferrero Costa,Ocupación,político
Carlos Ferrero Costa,Cargo,presidente del Congreso de la República del Perú
Carlos Ferrero Costa,Cargo,congresista del Perú
Carlos Ferrero Costa,Cargo,miembro del Congreso Constituyente Democrático
Alberto Andrade Carmona,Lugar de nacimiento,Lima
Alberto Andrade Carmona,Ocupación,abogado
Alberto Andrade Carmona,Ciudadanía,Perú
Alberto Andrade Carmona,Educado en,Universidad Nacional Mayor de San Marcos
Alberto Andrade Carmona,Cargo,alcalde de Lima
Alberto Andrade Carmona,Premio recibido,Gran Cruz de la Orden de Isabel la Católica
Alberto Andrade Carmona,Fecha de nacimiento,1943-12-24
Alberto Andrade Carmona,Fecha de defunción,2009-06-19
Alberto Andrade Carmona,Ocupación,empresario
Alberto Andrade Carmona,Ocupación,político
Alberto Andrade Carmona,Cargo,congresista del Perú
Esteban Canal,Lugar de nacimiento,Chiclayo
Esteban Canal,Ocupación,ajedrecista
Esteban Canal,Ciudadanía,Italia
Esteban Canal,Fecha de nacimiento,1896-04-19
Esteban Canal,Fecha de defunción,1981-02-14
Esteban Canal,Ciudadanía,Perú
Esteban Canal,Ciudadanía,Reino de Italia
Alberto Pandolfi,Lugar de nacimiento,Lima
Alberto Pandolfi,Ocupación,empresario
Alberto Pandolfi,Ciudadanía,Perú
Alberto Pandolfi,Educado en,Universidad Nacional de Ingeniería
Alberto Pandolfi,Cargo,Presidente del Consejo de Ministros del Perú
Alberto Pandolfi,Fecha de nacimiento,1940-04-20
Alberto Pandolfi,Ocupación,político
Alberto Pandolfi,Ocupación,funcionario
Alberto Pandolfi,Cargo,Ministro de Energía y Minas del Perú
Fernando García López,Lugar de nacimiento,Distrito de Pimentel
Fernando García López,Ocupación,entrenador
Fernando García López,Ciudadanía,Perú
Fernando García López,Fecha de nacimiento,1987-07-21
Fernando García López,Ocupación,futbolista
Saby Kamalich,Lugar de nacimiento,Lima
Saby Kamalich,Ocupación,actor
Saby Kamalich,Ciudadanía,Perú
Saby Kamalich,Fecha de nacimiento,1939-05-13
Saby Kamalich,Fecha de defunción,2017-09-13
Saby Kamalich,Ocupación,actor de televisión
Saby Kamalich,Ocupación,actor de cine
Miguel Ángel de la Flor Valle,Lugar de nacimiento,Chiclayo
Miguel Ángel de la Flor Valle,Ocupación,militar
Miguel Ángel de la Flor Valle,Ciudadanía,Perú
Miguel Ángel de la Flor Valle,Cargo,Ministro de Relaciones Exteriores del Perú
Miguel Ángel de la Flor Valle,Premio recibido,Gran Cruz de la Orden El Sol del Perú
Miguel Ángel de la Flor Valle,Fecha de nacimiento,1924-11-20
Miguel Ángel de la Flor Valle,Fecha de defunción,2010-01-12
Miguel Ángel de la Flor Valle,Ocupación,diplomático
Luis Alberto Sánchez,Lugar de nacimiento,Lima
Luis Alberto Sánchez,Ocupación,abogado
Luis Alberto Sánchez,Ciudadanía,Perú
Luis Alberto Sánchez,Educado en,Universidad Nacional Mayor de San Marcos
Luis Alberto Sánchez,Cargo,Presidente del Consejo de Ministros del Perú
Luis Alberto Sánchez,Premio recibido,Orden de las Palmas Magisteriales
Luis Alberto Sánchez,Fecha de nacimiento,1900-10-12
Luis Alberto Sánchez,Fecha de defunción,1994-02-06
Luis Alberto Sánchez,Ocupación,político
Luis Alberto Sánchez,Ocupación,historiador
Luis Alberto Sánchez,Ocupación,traductor
Luis Alberto Sánchez,Ocupación,profesor universitario
Luis Alberto Sánchez,Ocupación,periodista
Luis Alberto Sánchez,Ocupación,crítico literario
Luis Alberto Sánchez,Ocupación,ensayista
Luis Alberto Sánchez,Premio recibido,comendador de las Artes y las Letras
Luis Alberto Sánchez,Premio recibido,Gran Cruz de la Orden de Isabel la Católica
Luis Alberto Sánchez,Cargo,Vicepresidente del Perú
Luis Alberto Sánchez,Cargo,diputado de Perú
Luis Alberto Sánchez,Cargo,senador de Perú
Luis Alberto Sánchez,Cargo,presidente del Senado de Perú
Luis Alberto Sánchez,Cargo,Ministro de la Presidencia del Perú
Luis Alberto Sánchez,Cargo,miembro de la Asamblea Constituyente del Perú
María Rostworowski,Lugar de nacimiento,Lima
María Rostworowski,Ocupación,científico
María Rostworowski,Ciudadanía,Perú
María Rostworowski,Educado en,Universidad Nacional Mayor de San Marcos
María Rostworowski,Premio recibido,Beca Guggenheim
María Rostworowski,Fecha de nacimiento,1915-08-08
María Rostworowski,Fecha de defunción,2016-03-06
María Rostworowski,Ocupación,historiador
Juan Landázuri Ricketts,Ocupación,arzobispo
Juan Landázuri Ricketts,Ocupación,sacerdote católico
Juan Landázuri Ricketts,Premio recibido,Gran Cruz de la Orden El Sol del Perú
Juan Landázuri Ricketts,Premio recibido,Gran Cruz de la Orden de San Raimundo de Peñafort
Juan Landázuri Ricketts,Premio recibido,doctor honoris causa de la Universidad Nacional Mayor de San Marcos
María Rostworowski,Ocupación,etnólogo
María Rostworowski,Premio recibido,Orden de las Palmas Magisteriales
María Rostworowski,Premio recibido,Premio Southern
María Rostworowski,Premio recibido,Comandante con Estrella de la Orden del Mérito de la República Polaca
María Rostworowski,Premio recibido,Comendador de la Orden del Sol del Perú
María Rostworowski,Premio recibido,Orden al Mérito de la Mujer
María Rostworowski,Premio recibido,Orden del Árbol de la Quina
Waldir Sáenz,Lugar de nacimiento,Lima
Waldir Sáenz,Ocupación,entrenador
Waldir Sáenz,Ciudadanía,Perú
Waldir Sáenz,Fecha de nacimiento,1973-05-15
Waldir Sáenz,Ocupación,futbolista
Alejandro Villanueva,Lugar de nacimiento,Lima
Alejandro Villanueva,Ocupación,entrenador
Alejandro Villanueva,Ciudadanía,Perú
Alejandro Villanueva,Premio recibido,Laureles Deportivos del Perú
Alejandro Villanueva,Fecha de nacimiento,1908-06-04
Alejandro Villanueva,Fecha de defunción,1944-04-11
Alejandro Villanueva,Ocupación,futbolista
Orlando Prado,Lugar de nacimiento,Lima
Orlando Prado,Ocupación,futbolista
Orlando Prado,Ciudadanía,Perú
Orlando Prado,Fecha de nacimiento,1972-02-16
Guillermo Salas,Lugar de nacimiento,Nuevo Chimbote
Guillermo Salas,Ocupación,entrenador
Guillermo Salas,Ciudadanía,Perú
Guillermo Salas,Educado en,Universidad Stanford
Guillermo Salas,Fecha de nacimiento,1974-10-21
Guillermo Salas,Ocupación,futbolista
Alberto Pizango,Lugar de nacimiento,Perú
Alberto Pizango,Ocupación,académico
Alberto Pizango,Ciudadanía,Perú
Alberto Pizango,Fecha de nacimiento,1964-08-31
José Luis Carranza,Lugar de nacimiento,Lima
José Luis Carranza,Ocupación,futbolista
José Luis Carranza,Ciudadanía,Perú
José Luis Carranza,Fecha de nacimiento,1964-01-08
